locus	lg	pos
Soc11	1	68.103
Contig_39876	1	34.777
Soc797	1	7.565
Contig_33862	1	71.892
Dla97	1	45.780
Soc908	1	25.896
Contig_1280	1	12.626
Contig_26643	1	83.305
Contig_10045	1	2.532
Contig_48437	1	34.777
Soc1057	1	83.305
Soc1083	1	82.055
Contig_98024	1	80.800
Contig_36977	1	66.248
Contig_29953	1	77.337
Contig_65483	1	34.777
Contig_72280	1	2.532
Contig_13224	1	30.929
Contig_14005	1	75.681
Contig_12766	1	54.827
Contig_24603	1	86.242
Contig_29569	1	29.679
Soc735	1	3.782
Dla83	1	15.159
Soc1034	1	2.532
Soc695	1	74.431
Contig_52532	1	0.000
Contig_7209	1	0.000
Contig_42884	1	64.323
Contig_1729	1	12.577
Soc1125	1	75.681
Contig_7095	1	0.000
Soc523	1	25.896
Contig_17462	1	82.055
Contig_39819	1	69.353
Contig_10515	1	0.000
Contig_8824	1	83.305
Contig_33546	1	28.429
Contig_49778	1	0.000
Contig_68586	1	81.471
Contig_1331	1	24.646
Soc1054	1	10.097
Contig_56045	1	5.032
Contig_40846	1	50.979
Contig_3831	2	0.000
Contig_79653	2	77.681
Contig_13627	2	67.897
Contig_52215	2	44.519
Contig_1821	2	62.261
Soc1046	2	51.916
Contig_17279	2	74.973
Contig_18508	2	69.949
Contig_24146	2	67.463
Soc636	2	71.199
Contig_58509	2	67.463
Contig_8329	2	67.463
Contig_13889	2	69.949
Contig_1945	2	68.706
Contig_36150	2	69.446
Contig_3625	2	73.731
Soc44	2	73.731
Soc243	2	50.666
Contig_20660	2	31.000
Contig_36863	2	16.649
Contig_10030	2	62.267
Contig_21990	2	53.166
Contig_9499	2	67.432
Contig_38410	2	67.432
Contig_24275	2	74.358
Soc579	2	69.949
Contig_64591	2	62.267
Contig_404	2	69.949
Contig_4281	2	69.949
Contig_14654	2	73.731
Contig_33850	2	58.393
Contig_8822	2	67.463
Contig_23483	3	57.059
Contig_15427	3	15.852
Contig_21967	3	61.599
Contig_2974	3	60.855
Contig_1208	3	0.961
Contig_54032	3	61.109
Contig_3783	3	35.217
Contig_10306	3	1.240
Soc1029	3	60.855
Contig_2597	3	55.242
Contig_19205	3	35.217
Contig_6456	3	1.240
Contig_4263	3	0.000
Contig_6846	3	0.000
Contig_51691	3	27.518
Contig_5883	3	24.985
Contig_16052	3	1.240
Contig_35418	3	53.246
Contig_29149	3	45.339
Soc1088	3	0.000
Soc922	3	40.241
Contig_7456	3	0.000
Contig_56	3	0.534
Soc1015	3	40.241
Soc640	3	2.490
Soc633	3	33.967
Soc708	3	32.717
Contig_27075	3	1.240
Soc1061	3	38.991
Dla87	3	45.339
Contig_22921	3	45.339
Contig_9212	3	58.082
Contig_54951	3	11.562
Soc701	3	62.095
Contig_4628	3	37.047
Contig_1471	3	0.000
Contig_61369	3	1.240
Contig_80132	3	0.000
Contig_29140	3	1.240
Contig_15130	3	41.491
Contig_584	3	0.000
Contig_32642	3	57.059
Soc952	3	18.397
Contig_14823	3	46.609
Contig_9003	3	58.884
Contig_49135	4	59.212
Contig_34919	4	59.181
Contig_63165	4	41.152
Soc1152	4	57.931
Contig_24591	4	34.772
Contig_130	4	7.915
Soc663	4	43.684
Contig_34359	4	6.673
Contig_13958	4	57.931
Contig_22151	4	57.931
Contig_44415	4	6.673
Contig_11497	4	31.994
Contig_52477	4	47.532
Contig_22073	4	7.332
Contig_2703	4	59.181
Contig_8728	4	59.181
Contig_63599	4	13.012
Contig_21471	4	37.304
Contig_40979	4	13.000
Contig_28764	4	52.732
Contig_24582	4	0.000
Soc796	4	61.712
Soc99	4	7.915
Contig_1445	4	57.931
Contig_21706	4	59.181
Contig_18631	4	13.012
Contig_21282	4	59.181
Contig_24748	4	6.673
Contig_7066	4	18.077
Contig_3343	4	15.545
Contig_52352	4	34.741
Contig_12314	4	9.165
Soc723	4	52.732
Contig_12403	5	1.250
Contig_46525	5	76.519
Contig_10565	5	75.972
Contig_14220	5	53.277
Contig_47903	5	76.519
Contig_2189	5	42.176
Contig_42705	5	76.519
Contig_34022	5	71.534
Contig_5685	5	74.693
Contig_41916	5	11.243
Soc1017	5	1.250
Contig_47650	5	76.519
Contig_16330	5	74.034
Contig_14457	5	19.260
Soc837	5	32.596
Soc513	5	3.742
Contig_80192	5	77.792
Contig_10300	5	4.992
Soc707	5	8.743
