locus	lg	pos
Soc11	1	67.672
Contig_1630	1	52.148
Dla97	1	54.644
Contig_65238	1	49.653
Contig_12764	1	0.000
Contig_48437	1	56.716
Contig_24605	1	32.516
Soc730	1	54.644
Soc798	1	29.675
Soc600	1	4.187
Soc509	1	32.516
Soc430	1	72.022
Soc1146	1	18.200
Soc1085	1	72.726
Contig_26636	1	9.198
Contig_17275	1	72.726
Soc735	1	28.263
Soc695	1	72.022
Contig_27567	1	25.069
Contig_11876	1	77.100
Contig_52532	1	1.349
Contig_18501	1	32.516
Soc991	1	12.794
Contig_8037	1	1.017
Contig_1729	1	36.925
Contig_10411	1	27.558
Soc1125	1	72.726
Soc523	1	41.944
Soc725	1	5.602
Contig_9657	1	39.065
Contig_39819	1	86.412
Soc593	1	5.602
Soc712	1	22.551
Contig_2668	1	4.895
Contig_5431	1	4.187
Soc1063	1	20.375
Contig_8259	1	25.425
Contig_8927	1	27.558
Contig_70620	1	75.591
Contig_35786	1	32.516
Soc955	1	24.726
Contig_23047	1	27.558
Soc407	1	72.726
Soc653	1	9.198
Contig_5365	1	57.713
Contig_34015	1	75.584
Contig_32750	1	70.920
Contig_1331	1	39.065
Soc400	1	30.383
Contig_7333	1	2.768
Contig_7525	1	39.065
Contig_11316	1	1.349
Contig_32696	2	19.019
Contig_3831	2	0.000
Soc417	2	56.792
Contig_52215	2	17.509
Contig_13020	2	35.332
Soc415	2	34.560
Soc1046	2	19.019
Soc44	2	63.250
Soc243	2	19.019
Contig_46831	2	35.332
Soc717	2	56.792
Contig_17279	2	56.792
Contig_3109	2	7.477
Contig_53522	2	19.019
Soc760	2	19.019
Soc636	2	42.319
Soc626	2	33.788
Contig_50686	2	44.463
Soc564	2	62.904
Contig_27874	2	58.967
Soc819	2	61.847
Contig_8486	2	43.023
Contig_15920	2	59.672
Contig_17959	2	56.792
Contig_2911	2	61.847
Contig_22266	2	56.792
Soc416	2	56.792
Contig_23483	3	72.338
Soc83	3	62.358
Contig_39174	3	23.956
Contig_23132	3	69.864
Soc1059	3	65.237
Contig_6456	3	37.807
Contig_14389	3	69.504
Contig_1744	3	37.027
Contig_59013	3	69.504
Contig_15712	3	21.098
Contig_16224	3	71.256
Contig_627	3	70.203
Soc1088	3	1.409
Contig_5783	3	80.191
Contig_46592	3	66.949
Contig_27576	3	65.237
Contig_7080	3	83.618
Contig_22201	3	14.154
Contig_33633	3	8.534
Soc640	3	39.247
Soc633	3	65.237
Soc708	3	64.533
Contig_15861	3	23.956
Soc1061	3	68.660
Soc701	3	77.458
Dla68	3	23.956
Soc1114	3	0.000
Contig_59130	3	8.910
Contig_94454	3	70.921
Contig_80132	3	23.956
Contig_29140	3	37.027
Dla66	3	52.624
Contig_43615	3	37.027
Contig_20030	3	39.247
Contig_44212	3	72.338
Soc432	3	23.956
Soc952	3	46.827
Contig_18443	3	41.422
Contig_17911	3	65.237
Contig_34919	4	80.492
Soc1152	4	55.975
Contig_105085	4	17.343
Contig_20596	4	83.641
Contig_1825	4	12.964
Contig_34359	4	1.530
Contig_29035	4	6.755
Contig_38144	4	16.559
Soc1056	4	10.364
Soc804	4	23.901
Contig_30560	4	79.788
Contig_74517	4	79.446
Contig_17882	4	8.656
Contig_38556	4	44.410
Contig_34607	4	24.578
Contig_62510	4	19.100
Contig_2703	4	82.325
Contig_8728	4	80.492
Contig_1130	4	10.364
Contig_3967	4	14.373
Soc796	4	79.969
Soc444	4	61.056
Contig_10686	4	78.385
Soc99	4	5.818
Soc1040	4	32.597
Contig_7028	4	6.755
Contig_18413	4	6.755
Contig_89743	4	47.031
Soc950	4	56.959
Contig_11587	4	15.466
Contig_30163	4	17.343
Contig_106402	4	14.373
Contig_32285	4	31.806
Soc553	4	78.385
Contig_66890	4	0.000
Soc805	4	46.201
Contig_13947	4	84.715
Soc723	4	47.031
Contig_15666	4	52.798
Soc551	4	2.960
Contig_46882	5	58.579
Contig_16207	5	76.071
Contig_33314	5	55.772
Contig_4337	5	8.925
Soc434	5	74.648
Contig_14457	5	25.338
Soc837	5	31.178
Contig_17293	5	63.192
Soc707	5	15.419
Contig_15436	5	28.290
Contig_15433	5	62.256
Soc625	5	65.089
Soc646	5	32.586
Soc949	5	10.333
Contig_15756	5	68.903
Contig_92541	5	4.003
Contig_51758	5	25.338
Contig_4396	5	62.256
Soc829	5	21.701
Soc739	5	54.901
Soc946	5	32.586
Contig_85712	5	72.718
Soc902	5	65.794
Soc138	5	67.969
Soc418	5	13.282
Contig_578	5	33.290
Contig_13016	5	7.509
Contig_25700	5	61.235
Contig_52598	5	0.000
Contig_56294	5	64.015
Contig_80823	5	22.545
Contig_49881	5	7.475
Contig_629	5	71.775
Soc951	6	13.788
Contig_53933	6	7.787
Soc901	6	29.514
Contig_65760	6	0.763
Contig_9232	6	75.496
Contig_26836	6	26.656
Soc412	6	29.514
Soc604	6	25.248
Contig_50499	6	46.558
Soc568	6	38.966
Contig_49316	6	69.736
Soc570	6	68.320
Contig_78602	6	1.081
Soc814	6	21.265
Soc777	6	43.566
Contig_59786	6	33.201
Contig_33248	6	13.788
Contig_7693	6	4.265
Contig_30523	6	1.433
Soc201	6	63.909
Contig_64605	6	61.734
Dla10	6	26.656
Contig_23156	6	0.763
Contig_60714	6	0.763
Soc1115	6	34.313
Soc1106	6	45.282
Soc583	6	0.000
Contig_19762	6	0.763
Soc617	6	68.320
Contig_5599	6	9.388
Contig_16536	6	30.943
Soc738	6	1.785
Contig_15415	6	72.690
Contig_55707	6	42.121
Soc586	6	1.785
Contig_10236	6	77.012
Contig_34093	6	66.873
Contig_74321	6	15.697
Soc691	6	50.570
Contig_9054	6	52.590
Soc549	7	66.063
Contig_30032	7	51.606
Soc1154	7	66.063
Dla78	7	19.749
Contig_18930	7	51.606
Contig_20778	7	67.752
Contig_14464	7	6.837
Contig_60838	7	0.000
Contig_12574	7	69.656
Contig_27486	7	71.075
