locus	size
Soc140	142
Soc156	182
Soc201	229
Soc243	106
Soc247	210
Soc400	493
Soc401	742
Soc402	646
Soc405	275
Soc407	485
Soc412	678
Soc418	983
Soc419	533
Soc421	607
Soc422	678
Soc423	628
Soc424	494
Soc428	587
Soc429	439
Soc430	636
Soc431	665
Soc434	681
Soc439	550
Soc442	595
Soc443	409
Soc500	162
Soc504	160
Soc505	105
Soc506	148
Soc507	318
Soc508	148
Soc509	192
Soc510	256
Soc512	104
Soc513	287
Soc516	157
Soc521	166
Soc522	116
Soc523	100
Soc524	128
Soc525	108
Soc526	219
Soc527	193
Soc529	171
Soc532	124
Soc533	101
Soc535	120
Soc536	166
Soc538	182
Soc540	154
Soc541	193
Soc542	135
Soc543	189
Soc544	121
Soc547	197
Soc548	160
Soc549	236
Soc550	216
Soc551	212
Soc552	153
Soc553	241
Soc554	225
Soc555	183
Soc556	203
Soc557	197
Soc558	168
Soc559	221
Soc560	176
Soc562	247
Soc563	166
Soc564	171
Soc565	231
Soc566	111
Soc567	262
Soc568	197
Soc569	196
Soc570	178
Soc571	241
Soc572	130
Soc573	263
Soc574	211
Soc575	229
Soc576	185
Soc578	296
Soc579	295
Soc580	275
Soc581	210
Soc583	110
Soc586	180
Soc587	249
Soc588	191
Soc590	190
Soc592	119
Soc593	94
Soc595	184
Soc596	163
Soc598	214
Soc600	201
Soc601	156
Soc602	118
Soc604	227
Soc607	234
Soc609	272
Soc610	163
Soc612	298
Soc613	210
Soc615	97
Soc616	298
Soc617	290
Soc618	107
Soc619	170
Soc620	143
Soc621	152
Soc622	251
Soc623	144
Soc624	158
Soc625	109
Soc626	169
Soc627	190
Soc628	181
Soc629	180
Soc630	144
Soc631	222
Soc633	188
Soc635	245
Soc636	150
Soc637	194
Soc638	220
Soc639	138
Soc640	159
Soc641	136
Soc642	200
Soc644	167
Soc645	150
Soc646	132
Soc647	247
Soc648	181
Soc649	154
Soc650	125
Soc651	187
Soc652	196
Soc653	252
Soc655	166
Soc656	213
Soc657	232
Soc658	149
Soc659	189
Soc660	123
Soc661	145
Soc662	108
Soc663	172
Soc664	136
Soc665	132
Soc666	201
Soc667	232
Soc668	96
Soc669	117
Soc670	245
Soc671	228
Soc672	199
Soc675	96
Soc676	166
Soc678	128
Soc679	146
Soc680	93
Soc681	111
Soc682	200
Soc684	198
Soc686	226
Soc687	157
Soc688	192
Soc689	182
Soc690	101
Soc691	129
Soc692	117
Soc693	192
Soc694	168
Soc695	135
Soc696	207
Soc697	166
Soc698	133
Soc699	142
Soc700	245
Soc701	120
Soc703	235
Soc704	237
Soc705	215
Soc707	156
Soc708	130
Soc709	200
Soc710	102
Soc711	244
Soc712	84
Soc713	189
Soc715	98
Soc716	144
Soc717	241
Soc718	190
Soc719	183
Soc721	203
Soc723	170
Soc724	194
Soc725	88
Soc726	146
Soc729	137
Soc730	92
Soc731	224
Soc733	158
Soc735	187
Soc736	168
Soc737	197
Soc738	117
Soc739	188
Soc745	149
Soc746	279
Soc753	155
Soc755	95
Soc758	289
Soc759	210
Soc760	274
Soc761	205
Soc762	286
Soc766	184
Soc767	215
Soc770	142
Soc773	291
Soc777	183
Soc778	222
Soc781	164
Soc783	106
Soc785	281
Soc786	179
Soc790	235
Soc792	200
Soc796	238
Soc797	248
Soc798	175
Soc800	183
Soc804	248
Soc805	199
Soc806	177
Soc807	141
Soc810	150
Soc812	143
Soc813	163
Soc814	123
Soc819	274
Soc820	173
Soc821	216
Soc826	180
Soc829	160
Soc832	131
Soc834	248
Soc835	112
Soc837	168
Soc843	225
Soc844	281
Soc849	127
Soc850	199
Soc855	130
Soc865	88
Soc878	197
Soc880	194
Soc884	157
Soc887	220
Soc888	172
Soc890	195
Soc891	140
Soc895	145
Soc897	271
Soc899	137
Soc900	260
Soc901	131
Soc902	180
Soc903	152
Soc905	181
Soc908	285
Soc909	225
Soc910	201
Soc913	170
Soc916	237
Soc919	251
Soc921	214
Soc922	175
Soc926	104
Soc927	166
Soc929	297
Soc930	92
Soc931	158
Soc933	148
Soc935	262
Soc940	180
Soc941	238
Soc943	241
Soc946	234
Soc949	206
Soc950	161
Soc951	245
Soc952	219
Soc955	217
Soc965	249
Soc967	150
Soc968	135
Soc970	246
Soc971	190
Soc973	169
Soc974	172
Soc975	577
Soc976	330
Soc978	533
Soc979	780
Soc983	580
Soc987	813
Soc988	403
Soc989	785
Soc991	630
Soc992	754
Soc994	459
Soc995	630
Soc998	624
Soc999	349
Soc1002	729
Soc1006	612
Soc1008	528
Soc1011	571
Soc1012	711
Soc1015	794
Soc1016	783
Soc1017	639
Soc1020	683
Soc1022	632
Soc1025	625
Soc1027	588
Soc1029	535
Soc1031	749
Soc1032	774
Soc1033	670
Soc1034	534
Soc1037	395
Soc1038	820
Soc1040	599
Soc1041	649
Soc1044	714
Soc1046	327
Soc1047	491
Soc1048	620
Soc1050	755
Soc1051	663
Soc1052	473
Soc1054	475
Soc1056	214
Soc1057	269
Soc1058	467
Soc1059	524
Soc1060	634
Soc1061	499
Soc1063	511
Soc1064	415
Soc1065	656
Soc1066	580
Soc1067	598
Soc1068	709
Soc1070	428
Soc1071	471
Soc1072	641
Soc1073	632
Soc1075	299
Soc1076	564
Soc1079	645
Soc1081	616
Soc1082	519
Soc1083	672
Soc1085	457
Soc1087	504
Soc1088	377
Soc1089	629
Soc1090	702
Soc1091	206
Soc1092	559
Soc1093	635
Soc1094	617
Soc1095	629
Soc1098	719
Soc1099	719
Soc1103	215
Soc1104	539
Soc1106	419
Soc1108	540
Soc1109	696
Soc1111	386
Soc1114	485
Soc1115	539
Soc1117	598
Soc1124	516
Soc1125	381
Soc1126	181
Soc1127	218
Soc1128	650
Soc1129	551
Soc1133	548
Soc1134	548
Soc1136	497
Soc1139	754
Soc1141	518
Soc1142	568
Soc1143	473
Soc1146	677
Soc1148	723
Soc1151	556
Soc1152	564
Soc1154	572
Soc1155	653
Soc1156	484
Soc1157	640
Lcr01	330
Lcr03	505
Lcr04	265
Lcr07	744
Lcr08	469
Lcr12	248
Lcr14	547
Mmi04	547
Mmi06	541
Mmi10	584
Mmi11	437
Dla01	864
Dla02	747
Dla04	481
Dla09	870
Dla10	852
Dla12	834
Dla16	828
Dla28	639
Dla41	464
Dla43	710
Dla44	589
Dla53	298
Dla59	348
Dla60	877
Dla66	656
Dla68	685
Dla69	824
Dla71	542
Dla72	487
Dla78	640
Dla79	769
Dla83	789
Dla84	623
Dla85	483
Dla87	807
Dla89	582
Dla90	813
Dla91	468
Dla94	682
Dla96	545
Dla97	570
Dla99	526
Dla105	780
Contig_34	295
Contig_56	321
Contig_78	387
Contig_113	293
Contig_129	348
Contig_130	324
Contig_146	271
