locus,map_chr,map_prop,map_pos,gacu_chr,gacu_prop,gacu_pos,lcal_chr,lcal_prop,lcal_pos,trub_chr,trub_prop,trub_pos,tnig_chr,tnig_prop,tnig_pos,onil_chr,onil_prop,onil_pos,dlab_chr,dlab_prop,dlab_pos,
Contig_1280,1,0.451,42.38,,,,,,,,,,,,,,,,,,,
Contig_9604,17,0.579,49.30,,,,7_1,0.432,10039175,,,,,,,,,,17,0.745,17063636,
Contig_14464,7,0.085,6.84,,,,24,0.369,7317327,,,,,,,9,0.285,5969331,18-21,0.243,4000584,
Contig_32648,8,0.093,8.55,1,0.366,10317899,,,,,,,,,,,,,,,,
Contig_532,8,0.637,58.73,,,,,,,,,,,,,,,,,,,
Soc933,17,0.063,5.40,,,,,,,,,,,,,,,,17,0.122,2803457,
Contig_35109,18,0.086,7.31,,,,,,,,,,,,,,,,,,,
Contig_1743,8,0.823,75.86,,,,8,0.961,24919817,,,,,,,2,0.095,2391863,2,0.743,19479513,
Contig_34,21,0.024,2.42,,,,,,,,,,,,,,,,,,,
Soc1126,8,0.801,73.87,,,,,,,,,,,,,,,,,,,
Contig_13224,1,0.597,56.02,,,,,,,,,,,,,,,,,,,
Contig_32460,18,0.053,4.51,,,,,,,,,,,,,,,,,,,
Soc1068,14,0.960,82.94,,,,,,,,,,,,,,,,,,,
Contig_8631,23,0.814,60.30,,,,,,,,,,,,,,,,,,,
Contig_48862,21,0.493,49.21,,,,6,0.495,13822205,,,,,,,,,,22-25,0.463,12247388,
Contig_16292,10,0.951,85.42,,,,,,,,,,,,,,,,,,,
Contig_13891,5,0.473,38.28,1,0.126,3549000,21,0.164,4710048,11,0.095,1066757,,,,14,0.322,11016121,13,0.349,9650670,
Contig_9671,10,0.053,4.76,,,,,,,,,,,,,,,,,,,
Contig_8602,12,0.895,91.89,2,0.086,1995598,2,0.568,17278190,13,0.037,623923,,,,1,0.871,27176796,5,0.042,1367605,
Contig_2705,18,0.936,79.41,,,,,,,,,,,,,,,,,,,
Contig_18265,5,0.106,8.60,1,0.297,8382340,21,0.393,11280486,,,,,,,14,0.502,17158912,13,0.593,16375748,
Soc1050,8,0.882,81.31,,,,8,0.735,19063303,,,,,,,2,0.358,8974251,2,0.993,26046457,
Soc829,5,0.214,17.30,,,,,,,,,,,,,,,,,,,
Contig_4677,17,0.910,77.52,,,,,,,,,,,,,,,,,,,
Contig_18413,4,0.157,14.75,,,,,,,,,,,,,,,,,,,
Contig_38410,2,0.475,39.94,1,0.880,24815566,7_2,0.568,7901480,8,0.159,2339035,3,0.361,5597825,,,,24,0.708,9852208,
Contig_7879,18,0.506,42.97,8,0.800,15491929,17,0.379,10484818,20,0.428,5737392,1,0.633,14555761,23,0.494,10260987,4,0.620,17094881,
Contig_24748,4,0.071,6.64,,,,2,0.536,16293254,,,,,,,,,,,,,
Contig_17708,24,0.879,73.65,,,,,,,,,,,,,,,,,,,
Contig_37291,2,0.852,71.60,,,,,,,,,,,,,,,,24,0.277,3861635,
Contig_7391,14,1.000,86.37,,,,3,0.725,17029998,,,,,,,,,,9,0.866,19368232,
Soc557,10,0.951,85.42,,,,,,,,,,,,,,,,1A,0.889,25807055,
Contig_12314,4,0.123,11.56,,,,,,,,,,,,,,,,,,,
Contig_9003,3,0.919,84.77,,,,,,,,,,,,,,,,3,0.103,1382085,
Contig_28906,20,0.180,16.13,,,,,,,,,,,,,,,,14,0.792,22501094,
Contig_16939,3,0.405,37.37,,,,,,,,,,,,,,,,3,0.961,12920821,
Soc755,6,0.872,79.60,,,,,,,,,,,,,,,,,,,
Contig_10306,3,0.500,46.10,7,0.148,4132655,14,0.603,8485336,8,0.879,12906692,20,0.191,726693,3,0.743,14358297,3,0.783,10535796,
Contig_58870,10,0.951,85.42,,,,12,0.708,19722732,19,0.847,12010567,11,0.801,9580843,5,0.420,15704663,1A,0.466,13522756,
Contig_12530,14,0.124,10.74,,,,,,,,,,,,,,,,,,,
Contig_14976,15,0.276,23.27,5,0.206,2518513,23,0.334,6061575,,,,2,0.013,277923,,,,,,,
Contig_18491,8,0.354,32.65,,,,8,0.581,15048218,,,,,,,2,0.563,14092766,2,0.218,5715778,
Contig_59013,3,0.871,80.35,,,,14,0.322,4538536,,,,,,,3,0.196,3796855,3,0.340,4574824,
Contig_2723,5,0.677,54.77,,,,21,0.791,22679479,,,,,,,,,,13,0.264,7300531,
Contig_9594,4,0.057,5.32,,,,,,,,,,,,,,,,,,,
Contig_19121,20,0.320,28.66,,,,,,,,,,,,,,,,,,,
Contig_9159,7,0.071,5.76,,,,,,,,,,,,,,,,,,,
Soc548,11,0.141,10.54,16,0.216,3904138,1,0.911,23410721,1,0.467,10866812,2,0.439,9477953,16,0.239,8334563,15,0.769,19661687,
Contig_14829,18,0.032,2.74,,,,17,0.207,5727360,20,0.176,2359130,1,0.496,11401684,23,0.576,11974489,4,0.783,21577850,
Contig_20657,20,0.392,35.07,,,,20,0.985,23388616,,,,,,,,,,14,0.926,26308013,
Soc773,16,0.228,23.02,,,,,,,,,,,,,,,,,,,
Contig_14652,9,0.192,15.98,,,,,,,,,,,,,,,,,,,
Contig_29149,3,0.833,76.85,,,,14,0.235,3301110,,,,,,,,,,3,0.258,3470082,
Contig_31412,9,0.509,42.32,6,0.535,9140824,16-22,0.331,8557552,4,0.765,10572538,17,0.454,5504364,13,0.602,19747542,11,0.402,10533100,
Contig_15861,3,0.295,27.18,,,,,,,,,,,,,,,,,,,
Contig_91727,19,0.845,78.51,13,0.615,12347265,13,0.540,14710804,21,0.026,384268,,,,12,0.315,10910807,20,0.126,3583956,
Contig_10006,20,0.343,30.74,,,,20,0.107,2534014,,,,,,,10,0.789,13486961,14,0.868,24654313,
Contig_73950,10,0.951,85.42,,,,,,,,,,,,,,,,,,,
Contig_11334,19,0.845,78.51,,,,13,0.588,16030510,,,,,,,12,0.271,9407639,20,0.074,2113276,
