LOCUS	LEFT_LOCUS	RIGHT_LOCUS	LEFT_POS	RIGHT_POS	SUPPORT	INTERVAL_SIZE	LG
TRINITY_DN45932_c0_g1_i1	Soc439	Soc569	53.11	61.71	trub,tnig,onil	8.6	19
TRINITY_DN41388_c0_g2_i1	Contig_9003	Contig_9212	84.77	84.20	lcal,dlab	0.569999999999993	3
TRINITY_DN49487_c2_g9_i1	Dla43	Contig_14464	7.22	6.84	gacu,dlab	0.38	7
TRINITY_DN52939_c0_g1_i1	Contig_80248	Contig_19458	1.98	3.53	dlab	1.55	15
TRINITY_DN11613_c0_g1_i1	Contig_35583	Contig_9368	17.89	20.39	lcal,dlab	2.5	19
TRINITY_DN85548_c0_g1_i1	Contig_19656	Contig_23868	7.77	7.77	dlab	0	10
TRINITY_DN88897_c0_g1_i1	Contig_19669	Contig_7218	71.69	76.16	lcal,dlab	4.47	16
TRINITY_DN37564_c0_g2_i1	Contig_6874	Dla53	70.13	80.77	trub	10.64	7
TRINITY_DN47063_c2_g2_i1	Contig_26225	Contig_30988	47.09	50.16	trub	3.06999999999999	9
TRINITY_DN6352_c0_g2_i1	Soc684	Soc439	54.18	53.11	lcal,trub,tnig	1.07	19
TRINITY_DN49324_c1_g1_i1	Soc552	Contig_8903	73.25	71.98	lcal	1.27	8
TRINITY_DN50407_c0_g1_i1	Soc657	Contig_23642	44.71	34.77	onil	9.94	22
TRINITY_DN34937_c0_g3_i1	Contig_40076	Soc431	59.70	59.70	trub	0	18
TRINITY_DN49779_c2_g4_i1	Contig_40846	Contig_29953	63.30	77.94	trub	14.64	1
TRINITY_DN92294_c0_g1_i1	Contig_30294	Contig_393	12.51	12.50	gacu,tnig,onil,dlab	0.00999999999999979	20
TRINITY_DN61555_c0_g1_i1	Contig_36169	Contig_33822	27.85	29.10	lcal,onil	1.25	24
TRINITY_DN5924_c0_g2_i1	Contig_1597	Contig_15850	43.32	38.64	trub,tnig	4.68	11
TRINITY_DN31386_c0_g1_i1	Soc1128	Contig_62131	26.29	26.93	gacu,tnig,dlab	0.640000000000001	11
TRINITY_DN38537_c0_g2_i1	Soc693	Soc565	70.95	68.42	lcal	2.53	11
TRINITY_DN47873_c0_g2_i1	Soc913	Contig_1122	46.76	44.35	gacu,trub,onil	2.41	21
TRINITY_DN95117_c0_g1_i1	Contig_9040	Contig_57092	38.68	33.69	gacu	4.99	14
TRINITY_DN32929_c0_g1_i1	Contig_7879	Contig_38502	42.97	36.80	gacu	6.17	18
TRINITY_DN2724_c0_g1_i1	Contig_5761	Soc667	21.73	28.28	dlab	6.55	18
TRINITY_DN43178_c0_g1_i1	Contig_38333	Contig_151	19.00	8.78	onil	10.22	17
TRINITY_DN49986_c0_g3_i1	Contig_16536	Soc1115	32.61	35.97	lcal,trub,onil,dlab	3.36	6
TRINITY_DN44626_c2_g1_i1	Soc762	Contig_9476	36.64	36.64	lcal,dlab	0	8
TRINITY_DN42013_c0_g1_i1	Contig_40846	Contig_12766	63.30	65.55	lcal,dlab	2.25	1
TRINITY_DN44998_c0_g2_i1	Contig_49135	Contig_10686	90.68	87.95	lcal	2.73	4
TRINITY_DN41574_c0_g3_i1	Dla66	Soc708	61.64	69.13	gacu,onil	7.48999999999999	3
TRINITY_DN47750_c0_g2_i1	Contig_9990	Contig_6281	52.26	50.91	dlab	1.35	15
TRINITY_DN46264_c3_g1_i1	Contig_1924	Contig_16159	56.10	77.24	trub	21.14	22
TRINITY_DN89966_c0_g1_i1	Contig_13828	Contig_4075	67.99	69.18	lcal,dlab	1.19000000000001	15
TRINITY_DN88746_c0_g1_i1	Soc419	Contig_19340	18.00	27.07	gacu,tnig,onil	9.07	7
TRINITY_DN31467_c0_g1_i1	Contig_40234	Contig_8178	43.01	44.26	gacu	1.25	20
TRINITY_DN15090_c0_g1_i1	Contig_47513	Contig_6874	69.15	70.13	lcal	0.97999999999999	7
TRINITY_DN41388_c0_g1_i1	Contig_9003	Contig_9212	84.77	84.20	lcal,dlab	0.569999999999993	3
TRINITY_DN49736_c1_g1_i1	Contig_22073	Contig_130	6.64	10.93	dlab	4.29	4
TRINITY_DN10645_c0_g1_i1	Contig_100319	Contig_41313	69.09	69.37	lcal,dlab	0.280000000000001	19
TRINITY_DN44274_c1_g1_i1	Soc1129	Contig_31952	54.36	51.07	gacu,lcal,trub,tnig,onil,dlab	3.29	8
TRINITY_DN90076_c0_g1_i1	Contig_100319	Contig_41313	69.09	69.37	lcal,dlab	0.280000000000001	19
TRINITY_DN20660_c0_g2_i1	Contig_83533	Soc1017	8.60	7.84	gacu,trub,onil	0.76	5
