Soc140,gi|642116433|emb|CDQ67450.1|,63.33,30,9,1,119,36,1783,1812,1,34.3,unnamed protein product [Oncorhynchus mykiss]
Soc400,gi|734620393|ref|XP_010738044.1|,53.49,43,15,2,488,366,160,199,0.004,44.3,PREDICTED: voltage-dependent T-type calcium channel subunit alpha-1I-like [Larimichthys crocea]
Soc402,gi|808863056|gb|KKF14488.1|,95.12,41,2,0,511,389,651,691,1.00E-13,77.4,Adenylate cyclase type 8 [Larimichthys crocea]
Soc407,gi|670997991|ref|XP_008689880.1|,30.14,73,44,1,175,372,147,219,8.3,34.3,PREDICTED: LOW QUALITY PROTEIN: ankyrin repeat and death domain-containing protein 1B [Ursus maritimus]
Soc412,gi|808885903|gb|KKF32580.1|,100,16,0,0,173,126,463,478,3.3,36.6,Integrin alpha-8 [Larimichthys crocea]
Soc422,gi|962004116|ref|XP_014829496.1|,40.91,44,20,2,213,82,86,123,3,37,PREDICTED: ATP-dependent zinc metalloprotease YME1L1-like isoform X2 [Poecilia mexicana]
Soc424,gi|657589384|ref|XP_008299077.1|,91.67,24,2,0,285,356,1140,1163,4.00E-06,53.5,PREDICTED: probable phospholipid-transporting ATPase IF isoform X2 [Stegastes partitus]
Soc428,gi|808887730|gb|KKF34042.1|,61.11,36,14,0,194,87,28,63,0.005,44.7,Protein arginine N-methyltransferase 7 [Larimichthys crocea]
Soc430,gi|734610146|ref|XP_010732416.1|,85.71,56,8,0,517,350,65,120,2.00E-20,94.4,PREDICTED: endonuclease V [Larimichthys crocea]
Soc431,gi|847031337|ref|XP_012805694.1|,33.33,66,37,2,433,615,11,74,4.4,35.8,PREDICTED: follistatin [Jaculus jaculus]
Soc439,gi|641999551|emb|CDQ98123.1|,30,90,58,2,375,109,97,182,4,35.8,"unnamed protein product, partial [Oncorhynchus mykiss]"
Soc442,gi|808865781|gb|KKF16591.1|,88.46,52,6,0,238,83,159,210,2.00E-24,104,Saxitoxin and tetrodotoxin-binding protein 1 [Larimichthys crocea]
Soc442,gi|808865781|gb|KKF16591.1|,67.57,37,12,0,519,409,124,160,2.00E-07,56.6,Saxitoxin and tetrodotoxin-binding protein 1 [Larimichthys crocea]
Soc504,gi|642116433|emb|CDQ67450.1|,95.24,21,1,0,78,140,1784,1804,0.006,41.2,unnamed protein product [Oncorhynchus mykiss]
Soc504,gi|642116433|emb|CDQ67450.1|,81.48,27,3,1,66,140,1782,1808,0.028,39.3,unnamed protein product [Oncorhynchus mykiss]
