locus	lg	pos
Contig_30909	1	0.000
Contig_33862	1	70.111
Contig_65238	1	59.564
Contig_10045	1	37.615
Contig_48437	1	67.581
Soc1057	1	70.111
Contig_1657	1	8.807
Contig_36977	1	70.111
Contig_29953	1	70.111
Contig_81007	1	1.242
Soc600	1	1.242
Contig_1200	1	6.275
Contig_65483	1	67.599
Contig_4432	1	33.754
Contig_30461	1	70.111
Contig_24603	1	70.111
Contig_1911	1	67.581
Soc1034	1	37.615
Contig_1417	1	31.241
Contig_11876	1	70.093
Soc991	1	15.395
Contig_7209	1	2.492
Contig_41837	1	67.581
Contig_10411	1	46.527
Contig_45339	1	57.032
Soc523	1	57.032
Contig_17462	1	70.111
Soc593	1	2.492
Contig_2668	1	3.742
Soc1063	1	40.147
Contig_35786	1	49.224
Soc955	1	43.995
Contig_13052	1	46.527
Contig_8130	1	0.000
Contig_3959	1	67.581
Contig_35255	1	47.778
Contig_1331	1	57.032
Soc899	1	0.677
Contig_34398	1	32.491
Contig_11316	1	0.000
Contig_40846	1	67.581
Contig_6002	2	72.928
Soc417	2	54.664
Contig_52215	2	5.506
Contig_1821	2	6.757
Contig_46831	2	9.247
Contig_17279	2	55.915
Contig_27597	2	58.447
Contig_1395	2	31.461
Contig_24146	2	6.757
Soc636	2	22.215
Contig_58509	2	6.757
Contig_17615	2	0.000
Contig_8329	2	6.757
Contig_13889	2	31.461
Contig_70266	2	8.316
Soc819	2	68.996
Contig_1945	2	8.906
Soc416	2	54.664
Contig_54081	2	70.246
Contig_36150	2	30.124
Contig_70432	2	70.246
Soc44	2	70.246
Soc243	2	5.506
Contig_36863	2	5.506
Contig_10030	2	6.757
Soc760	2	4.256
Contig_69466	2	8.007
Contig_21990	2	5.506
Contig_9499	2	6.757
Contig_24275	2	30.964
Contig_20658	2	60.979
Contig_37291	2	54.664
Soc579	2	15.627
Contig_404	2	13.095
Contig_4281	2	35.309
Contig_33850	2	6.757
Contig_7672	3	49.377
Contig_23483	3	49.377
Contig_343	3	37.896
Contig_21967	3	49.377
Contig_16939	3	29.198
Contig_54032	3	50.805
Soc504	3	1.250
Contig_10306	3	48.127
Contig_6456	3	44.345
Contig_3045	3	13.115
Contig_51691	3	49.377
Contig_35418	3	49.377
Soc1088	3	9.267
Contig_9735	3	49.377
Contig_7456	3	19.704
Soc640	3	46.877
Contig_29746	3	20.337
Contig_36884	3	37.896
Contig_27075	3	48.127
Contig_54951	3	49.377
Contig_20641	3	49.377
Contig_37891	3	49.377
Contig_1471	3	9.267
Contig_61369	3	43.095
Contig_30753	3	36.639
Soc900	3	0.000
Contig_8886	3	24.801
Contig_29140	3	43.095
Contig_584	3	1.250
Soc432	3	20.946
Contig_17911	3	49.377
Contig_67706	3	9.267
Contig_9003	3	49.377
Contig_42217	4	67.069
Contig_49135	4	0.000
Contig_34919	4	0.000
Contig_48824	4	21.421
Contig_20515	4	17.046
Contig_11573	4	3.750
Contig_24205	4	0.000
Contig_24591	4	62.452
Soc1040	4	54.621
Contig_8559	4	3.750
Contig_12011	4	57.205
Contig_21706	4	7.544
Contig_18631	4	66.300
Contig_24776	4	19.585
Contig_64871	4	28.826
Contig_44288	4	66.300
Contig_18413	4	66.300
Contig_43667	4	41.079
Contig_36113	4	0.000
Contig_24748	4	66.300
Contig_9594	4	67.621
Contig_931	4	3.781
Contig_42534	4	39.829
Contig_2098	4	6.281
Contig_12314	4	66.300
Contig_6276	4	66.300
Contig_2703	4	3.750
Contig_63599	4	66.604
Contig_21471	4	62.452
Soc723	4	52.082
Contig_13947	4	2.500
Contig_8728	4	1.250
Contig_10565	5	49.741
Contig_14220	5	2.500
Contig_40885	5	0.000
Contig_2189	5	2.500
Contig_42705	5	20.625
Contig_34022	5	42.824
Contig_5685	5	25.723
Contig_16330	5	54.235
Contig_47650	5	47.895
Contig_33314	5	6.282
Contig_63635	5	6.282
Soc434	5	47.895
Contig_35800	5	0.000
Contig_7362	5	33.561
Contig_2723	5	8.795
Contig_14457	5	1.250
Contig_10300	5	0.000
Contig_35034	5	2.500
Contig_64216	5	1.250
Contig_20361	5	34.923
Contig_4126	5	7.532
Soc625	5	20.625
Soc646	5	1.250
Contig_58319	5	45.363
Contig_2440	5	45.363
Contig_15756	5	34.076
Contig_37123	5	0.000
Contig_6596	5	21.875
Contig_62188	5	49.145
Contig_18265	5	0.000
Soc739	5	5.032
Contig_21465	5	2.500
Contig_9807	5	14.022
Contig_16628	5	0.000
Contig_44858	5	25.723
Soc902	5	20.625
Soc138	5	32.311
Contig_7897	5	50.387
Soc610	5	47.895
Contig_15574	5	1.250
Contig_7193	6	21.527
Contig_10202	6	1.250
Soc412	6	6.263
Soc604	6	5.013
Soc568	6	11.327
Soc570	6	69.997
Soc755	6	64.899
Contig_2077	6	21.527
Contig_28213	6	16.527
Contig_11567	6	0.000
Contig_42432	6	1.250
Contig_4142	6	32.166
Contig_33248	6	1.250
Contig_10928	6	49.252
Soc698	6	2.500
Contig_28405	6	1.250
Contig_12169	6	8.795
Contig_11650	6	1.250
Dla41	6	41.060
Soc201	6	48.002
Contig_32096	6	46.473
Contig_50342	6	0.000
Contig_3401	6	49.252
Contig_1062	6	2.500
Contig_4747	6	54.350
Contig_90362	6	1.250
Contig_10008	6	56.882
Soc709	6	72.498
Contig_27062	6	24.228
Soc617	6	71.248
Soc808	6	50.502
Contig_4235	6	49.252
Contig_25610	6	68.747
Soc704	6	20.277
Contig_19224	6	20.277
Contig_61880	6	17.777
Contig_34011	6	69.997
Contig_93038	6	3.757
Contig_76926	6	19.027
Soc691	6	21.527
Contig_16390	6	2.500
Contig_1875	6	1.250
Contig_28248	6	0.000
Soc549	7	44.785
Contig_22414	7	54.273
Contig_20392	7	12.660
Dla78	7	11.409
Contig_19130	7	3.675
Contig_38865	7	54.273
Contig_12574	7	54.273
Soc419	7	10.159
Contig_10354	7	15.192
Contig_39806	7	35.804
Contig_12913	7	21.519
Contig_6618	7	4.034
Contig_10215	7	25.367
Contig_94636	7	25.367
Contig_19008	7	56.805
Contig_6268	7	7.105
Contig_3269	7	54.273
Contig_24723	7	18.727
Soc615	7	72.668
Contig_62881	7	25.367
Contig_30176	7	20.009
Contig_34000	7	3.836
Contig_31276	7	38.336
Contig_6525	7	74.058
Contig_19340	7	11.409
Contig_13310	7	20.269
Soc1099	7	31.956
Contig_45543	7	43.535
Contig_14586	7	54.273
Soc786	7	10.159
Contig_10465	7	3.966
Soc530	7	10.159
Soc726	7	72.668
Contig_41834	7	5.652
Soc792	7	0.000
Contig_2985	7	43.535
Contig_10875	7	71.412
Contig_2038	7	67.557
Contig_6874	7	58.062
Soc682	7	11.409
Soc621	7	56.805
Soc580	8	67.124
Contig_38929	8	64.617
Contig_24613	8	62.079
Contig_9483	8	6.475
Contig_25514	8	57.034
Contig_44525	8	53.186
Contig_54341	8	11.512
Contig_2354	8	32.210
Dla02	8	25.803
Soc638	8	5.225
Contig_82985	8	16.536
Contig_54730	8	57.034
Contig_39333	8	53.186
Contig_18491	8	15.286
Contig_38678	8	6.475
Soc671	8	42.636
Contig_2560	8	17.786
Contig_54161	8	67.124
Contig_854	8	17.786
Contig_12765	8	6.475
Contig_15119	8	3.975
Contig_4481	8	6.475
Contig_22492	8	6.475
Contig_681	8	13.450
Contig_4079	8	50.653
Contig_50114	8	50.653
Contig_31952	8	37.430
Soc806	8	0.000
Contig_39212	8	42.636
Soc639	8	42.636
Contig_61080	8	65.874
Contig_71422	8	8.381
Soc1050	8	59.540
Contig_13111	8	6.475
Soc694	8	58.284
Contig_4388	8	17.786
Contig_8903	8	50.653
Contig_25269	8	50.653
Contig_14059	8	6.475
Contig_12218	8	28.348
Contig_51050	8	3.975
Soc1129	8	42.636
Contig_36989	8	67.124
Soc631	8	10.262
Soc620	8	42.636
Soc401	8	65.874
Contig_9565	8	6.475
Contig_18794	9	28.050
Contig_15121	9	41.323
Contig_1370	9	51.035
Contig_3632	9	19.170
Contig_66704	9	3.848
Contig_41325	9	56.084
Contig_1112	9	57.335
Contig_57994	9	54.842
Contig_26225	9	54.842
Contig_101240	9	6.340
Contig_16964	9	53.592
Contig_3200	9	16.638
Soc428	9	23.017
Contig_24458	9	57.335
Dla69	9	25.517
Contig_26487	9	56.084
Contig_5374	9	56.084
Lcr03	9	51.060
Contig_5362	9	51.060
Contig_30453	9	55.407
Contig_25315	9	6.340
Contig_31412	9	53.592
Soc563	9	7.590
Soc623	9	3.848
Contig_2042	9	4.525
Contig_27183	9	58.585
Contig_11906	9	23.017
Contig_162	9	51.060
Contig_33947	9	57.335
Contig_17543	9	51.060
Contig_26660	9	0.000
Contig_7661	9	54.842
Soc575	9	28.050
Contig_30988	9	54.842
Contig_29439	9	24.267
Contig_75876	9	0.006
Contig_101565	9	53.592
Contig_71479	9	11.438
Contig_448	9	23.011
Contig_18157	9	61.495
Dla91	9	33.270
Soc711	9	57.335
Contig_28082	9	56.084
Contig_36020	9	56.084
Contig_2506	9	23.017
Contig_5913	9	56.084
Contig_93840	9	56.084
Contig_40426	9	11.438
Contig_5729	9	5.090
Contig_57674	10	69.084
Contig_15052	10	75.526
Contig_9705	10	65.242
Contig_62598	10	26.256
Soc686	10	8.486
Contig_18621	10	38.264
Contig_34242	10	7.941
Contig_9338	10	75.526
Contig_8535	10	5.997
Contig_29503	10	12.259
Dla94	10	18.640
Contig_38648	10	7.247
Contig_11649	10	7.247
Contig_63606	10	74.842
Contig_18350	10	7.247
Contig_12459	10	65.236
Soc1065	10	7.247
Contig_23868	10	8.207
Contig_19656	10	4.755
Contig_17992	10	7.607
Contig_19602	10	11.017
Contig_31364	10	56.324
Contig_7034	10	5.382
Contig_12856	10	23.711
Contig_5437	10	29.133
Contig_9671	10	7.247
Contig_28816	10	52.476
Contig_14830	10	74.283
Contig_24202	10	4.755
Contig_29474	10	10.999
Contig_10898	10	14.792
Contig_16927	10	21.172
Contig_60508	10	4.755
Contig_20213	10	74.283
Soc423	10	4.755
Contig_14136	10	0.000
Soc1020	10	58.856
Contig_45139	10	11.732
Contig_21372	10	4.743
Contig_12860	10	7.247
Soc825	10	62.704
Soc927	11	52.065
Contig_38218	11	3.771
Contig_26505	11	1.242
Contig_5795	11	22.840
Contig_4979	11	1.286
Contig_30256	11	49.564
Contig_207	11	1.242
Contig_10552	11	1.242
Contig_11396	11	43.184
Contig_97595	11	5.022
Contig_9451	11	1.242
Contig_1974	11	27.119
Soc573	11	24.587
Contig_15187	11	1.242
Soc19	11	3.771
Soc1128	11	0.000
Contig_1918	11	11.370
Contig_38299	11	38.122
Contig_10628	11	3.771
Contig_46639	11	5.022
Contig_1597	11	5.022
Contig_15850	11	6.272
Contig_11974	11	3.771
Contig_8095	11	1.242
Soc1008	11	13.902
Soc648	11	50.814
Soc1090	11	7.522
Contig_1096	11	43.141
Soc693	11	45.716
Contig_1852	11	1.304
Soc746	11	6.272
Contig_20998	11	1.242
Soc565	11	40.654
Contig_2467	11	49.564
Contig_2603	11	0.709
Contig_129	11	6.272
Contig_10979	12	48.609
Contig_53026	12	52.478
Contig_27060	12	2.532
Contig_85035	12	35.999
Contig_38247	12	63.788
Contig_51707	12	68.110
Contig_102220	12	56.258
Soc834	12	62.538
Soc596	12	55.008
Contig_17190	12	2.532
Soc602	12	57.508
Contig_35671	12	34.412
Contig_17623	12	40.891
Soc538	12	52.478
