COMP_SPECIES	START_LOCUS	END_LOCUS	NUM_LOCI	COMP_CHR	COMP_START	COMP_END	COMP_SIZE	MAP_LG	MAP_START	MAP_STOP	MAP_SIZE
gacu	Contig_14114	Soc548	2	16	3869831	3904138	34307	11	10.54	10.54	0.00
gacu	Contig_16607	Contig_10552	2	16	3773169	3644118	129051	11	11.19	15.89	4.70
gacu	Contig_86192	Contig_1236	2	16	5992828	6465228	472400	11	22.82	25.31	2.49
gacu	Soc1128	Contig_62131	2	16	1502532	3485102	1982570	11	26.29	26.93	0.64
gacu	Soc1079	Contig_10628	2	16	17581904	14539120	3042784	11	26.93	31.75	4.82
gacu	Contig_38218	Soc1141	3	16	13332724	13517326	184602	11	36.35	37.37	1.02
gacu	Contig_15850	Contig_129	2	16	12983281	12423461	559820	11	38.64	39.91	1.27
gacu	Contig_1918	Contig_26746	2	16	9877347	10274962	397615	11	47.37	51.25	3.88
gacu	Soc693	Contig_68171	2	16	6967636	8766878	1799242	11	70.95	73.50	2.55
gacu	Contig_3312	Contig_102672	2	12	3117654	3693784	576130	21	4.31	4.31	0.00
gacu	Soc619	Soc1052	4	12	4972412	7584414	2612002	21	5.90	19.80	13.90
gacu	Contig_24667	Contig_39603	2	12	9387815	9183859	203956	21	19.80	24.70	4.90
gacu	Contig_8360	Soc578	3	12	9789330	10639766	850436	21	30.77	33.95	3.18
gacu	Contig_1122	Soc913	2	12	12177411	11201704	975707	21	44.35	46.76	2.41
gacu	Contig_10874	Contig_13434	3	12	14291928	14495777	203849	21	67.26	68.53	1.27
gacu	Contig_41732	Contig_48161	3	12	15196685	15166715	278522	21	69.79	78.11	8.32
gacu	Contig_8325	Contig_4443	2	12	13375670	13283199	92471	21	80.67	84.98	4.31
gacu	Contig_49244	Contig_20392	9	21	609048	7395061	6917425	7	0	35.99	35.99
gacu	Contig_12913	Contig_18930	3	21	8708183	8697041	142228	7	44.04	48.91	4.87
gacu	Soc1099	Contig_3204	5	21	9802780	10298797	512519	7	54.86	56.46	1.60
gacu	Contig_64591	Contig_1395	6	1	23702301	27730009	4148904	2	37.34	59.98	22.64
gacu	Contig_46769	Contig_27597	3	1	22761327	21570396	1190931	2	59.53	73.49	13.96
gacu	Contig_36009	Contig_87726	4	18	4361261	3404965	956296	17	4.07	5.56	1.49
gacu	Soc681	Contig_36718	2	18	14453343	13742092	711251	17	21.71	23.95	2.24
gacu	Lcr08	Soc1027	2	18	14792447	15675363	882916	17	23.97	37.51	13.54
gacu	Soc770	Contig_57040	2	18	11335023	11265972	69051	17	35.99	40.76	4.77
gacu	Soc810	Contig_38617	2	18	9961066	10889703	928637	17	48.64	50.56	1.92
gacu	Contig_17415	Contig_57461	2	18	11508193	11558743	50550	17	51.81	57.91	6.10
gacu	Contig_911	Contig_29858	2	18	8595620	9487909	892289	17	60.01	62.47	2.46
