locus	lg	pos
Soc11	1	75.533
Contig_1630	1	65.377
Dla97	1	69.643
Contig_65238	1	63.968
Contig_48437	1	68.235
Contig_24605	1	53.813
Soc1057	1	78.350
Soc798	1	50.996
Soc600	1	2.858
Soc509	1	53.813
Soc430	1	76.941
Soc1146	1	30.870
Soc1085	1	78.350
Soc735	1	49.587
Soc1034	1	35.221
Soc695	1	76.941
Contig_27567	1	44.713
Contig_11876	1	82.716
Contig_18501	1	53.813
Soc991	1	20.059
Contig_8037	1	0.000
Contig_10411	1	48.179
Soc1125	1	78.350
Soc523	1	59.702
Contig_9657	1	61.111
Soc593	1	5.675
Soc712	1	39.571
Contig_2668	1	4.266
Contig_5431	1	2.858
Contig_8259	1	45.321
Contig_8927	1	48.179
Contig_70620	1	81.208
Contig_35786	1	53.813
Contig_23047	1	48.179
Soc955	1	43.922
Contig_1331	1	61.111
Soc400	1	52.404
Contig_11316	1	0.000
Contig_4099	2	29.910
Contig_52215	2	0.000
Contig_13020	2	5.861
Soc1046	2	0.000
Soc44	2	63.725
Contig_46831	2	2.858
Contig_17279	2	52.192
Contig_53522	2	0.000
Contig_3109	2	0.000
Soc636	2	18.266
Contig_50686	2	28.409
Soc564	2	63.725
Contig_24275	2	25.543
Contig_27874	2	56.542
Soc819	2	62.316
Contig_8486	2	20.005
Contig_15920	2	57.958
Soc579	2	4.266
Contig_22266	2	52.192
Soc416	2	52.192
Contig_27576	3	54.824
Contig_22201	3	16.457
Contig_23483	3	56.274
Soc83	3	54.866
Soc633	3	54.866
Soc708	3	54.866
Contig_15861	3	30.197
Soc701	3	62.163
Contig_6456	3	51.973
Contig_14389	3	56.274
Contig_59130	3	8.900
Contig_94454	3	56.274
Contig_29140	3	50.429
Soc432	3	30.197
Contig_44212	3	56.274
Soc1088	3	0.000
Contig_17911	3	54.866
Contig_34919	4	71.235
Soc1152	4	27.872
Soc796	4	71.235
Contig_10686	4	69.827
Soc444	4	35.169
Contig_24591	4	3.187
Contig_20596	4	73.881
Contig_1825	4	5.228
Soc99	4	0.000
Soc1040	4	9.892
Contig_29035	4	1.399
Contig_7028	4	1.399
Contig_38144	4	7.074
Contig_18413	4	1.399
Contig_74517	4	71.235
Contig_89743	4	14.242
Contig_17882	4	7.074
Contig_30038	4	72.644
Soc950	4	29.280
Contig_11587	4	7.074
Contig_106402	4	7.074
Soc553	4	69.827
Contig_34607	4	8.483
Contig_2703	4	72.644
Contig_13947	4	75.670
Contig_8728	4	71.235
Contig_73067	4	0.678
Soc723	4	14.242
Contig_15666	4	22.927
Soc625	5	49.039
Contig_58319	5	68.024
Contig_10409	5	3.391
Contig_15756	5	56.618
Soc949	5	4.699
Contig_33896	5	53.306
Contig_4396	5	44.773
Soc696	5	14.629
Contig_92541	5	0.000
Contig_51758	5	6.108
Soc739	5	32.881
Soc829	5	6.108
Contig_33314	5	34.289
Contig_85712	5	64.216
Soc434	5	68.024
Soc138	5	54.714
Soc902	5	50.448
Soc418	5	4.699
Contig_14457	5	6.108
