locus	lg	pos
Soc11	1	71.541
Contig_48987	1	3.766
Contig_1280	1	35.576
Contig_48437	1	51.651
Soc1057	1	77.846
Contig_1657	1	5.032
Soc600	1	1.250
Contig_81007	1	1.250
Contig_1200	1	3.766
Contig_13224	1	47.445
Contig_4432	1	18.558
Contig_30461	1	75.320
Dla83	1	33.374
Soc1034	1	20.709
Contig_11876	1	69.218
Soc991	1	8.327
Contig_7209	1	1.875
Contig_41837	1	51.651
Contig_1729	1	30.449
Contig_45339	1	41.305
Soc725	1	3.766
Contig_39819	1	70.916
Soc1063	1	21.975
Contig_49778	1	8.327
Contig_1331	1	41.305
Contig_11316	1	0.000
Contig_30909	1	0.000
Soc797	1	27.681
Contig_39876	1	51.651
Soc908	1	41.930
Contig_33862	1	72.166
Contig_65238	1	44.263
Contig_26643	1	77.846
Contig_10045	1	20.709
Soc1083	1	75.955
Contig_98024	1	79.935
Contig_36977	1	69.218
Contig_29953	1	74.686
Contig_72280	1	22.304
Soc509	1	28.947
Contig_65483	1	51.651
Contig_15357	1	25.165
Contig_14005	1	74.058
Contig_12766	1	62.684
Contig_24603	1	76.580
Soc735	1	25.790
Contig_29569	1	46.071
Contig_1911	1	51.651
Soc695	1	73.433
Contig_1417	1	17.152
Contig_52532	1	1.563
Contig_42884	1	68.231
Soc1125	1	74.058
Contig_7095	1	1.250
Soc523	1	41.930
Contig_17462	1	78.471
Soc593	1	1.875
Contig_2668	1	2.500
Contig_35786	1	32.128
Contig_23047	1	25.478
Soc955	1	23.899
Contig_13052	1	27.681
Contig_8824	1	77.846
Contig_8130	1	0.000
Contig_33546	1	44.705
Contig_3959	1	51.651
Contig_68586	1	79.880
Contig_35255	1	30.418
Soc899	1	1.250
Soc1054	1	28.947
Soc400	1	28.947
Contig_34398	1	17.851
Contig_24351	1	1.563
Contig_56045	1	26.415
Contig_40846	1	60.436
Contig_6002	2	81.579
Contig_3831	2	0.000
Contig_79653	2	83.060
Soc417	2	70.538
Contig_52215	2	31.888
Contig_1821	2	41.447
Soc1046	2	35.646
Contig_46831	2	46.543
Soc717	2	72.429
Contig_17279	2	71.163
Contig_18508	2	70.850
Contig_27597	2	72.429
Contig_1395	2	58.912
Contig_24146	2	44.047
Soc636	2	53.652
Contig_58509	2	44.047
Contig_17615	2	14.042
Contig_8329	2	44.047
Contig_13889	2	58.912
Contig_70266	2	46.195
Soc819	2	78.153
Contig_1945	2	45.297
Soc416	2	70.538
Contig_54081	2	77.442
Contig_36150	2	58.225
Contig_3625	2	78.864
Contig_70432	2	78.864
Contig_80464	2	49.100
Soc44	2	78.864
Soc243	2	35.021
Contig_20660	2	24.569
Contig_36863	2	16.743
Contig_10030	2	41.447
Soc760	2	24.316
Contig_69466	2	45.922
Contig_21990	2	36.271
Contig_9499	2	44.047
Contig_38410	2	44.047
Soc564	2	78.864
Contig_24275	2	58.711
Contig_20658	2	73.695
Contig_17959	2	58.468
Contig_37291	2	70.538
Soc579	2	49.733
Contig_64591	2	41.447
Contig_14654	2	78.864
Contig_4281	2	60.846
Contig_404	2	48.467
Contig_8822	2	44.047
Contig_33850	2	39.510
Contig_7672	3	47.820
Contig_23483	3	55.820
Soc83	3	39.793
Contig_15427	3	32.660
Contig_343	3	19.470
Contig_2974	3	61.547
Contig_21967	3	58.336
Contig_16939	3	14.824
Contig_1208	3	15.044
Contig_54032	3	59.250
Contig_3783	3	42.343
Soc504	3	0.625
Contig_10306	3	23.475
Soc1029	3	61.547
Contig_2597	3	54.915
Contig_19205	3	42.343
Contig_6456	3	22.850
Contig_3045	3	6.558
Contig_51691	3	38.493
Contig_5883	3	37.227
Contig_16052	3	22.225
Contig_35418	3	53.923
Contig_29149	3	48.774
Soc1088	3	4.634
Contig_9735	3	47.820
Soc922	3	44.855
Contig_7456	3	11.191
Contig_56	3	4.634
Soc1015	3	44.855
Soc633	3	41.718
Soc640	3	24.725
Contig_29746	3	10.566
Contig_36884	3	19.470
Soc708	3	41.093
Contig_27075	3	23.475
Soc1061	3	44.230
Dla87	3	51.313
Contig_22921	3	48.774
Contig_9212	3	56.480
Contig_54951	3	30.471
Soc701	3	58.336
Contig_4628	3	43.293
Contig_37891	3	47.820
Contig_20641	3	47.820
Soc1114	3	0.000
Dla68	3	7.600
Contig_1471	3	4.634
Contig_61369	3	22.225
Contig_30753	3	18.804
Contig_80132	3	4.634
Soc900	3	0.000
Contig_8886	3	12.533
Contig_15130	3	45.480
Contig_29140	3	22.225
Contig_584	3	0.625
Contig_32642	3	55.820
Soc432	3	10.566
Soc952	3	33.933
Contig_17911	3	47.820
Contig_14823	3	50.089
Contig_67706	3	4.634
Contig_9003	3	57.054
Contig_49135	4	66.012
Contig_34919	4	66.012
Contig_63165	4	27.104
Contig_772	4	64.137
Contig_24205	4	66.012
Contig_11573	4	64.137
Contig_24591	4	22.628
Contig_130	4	7.270
Soc663	4	29.215
Contig_15353	4	7.895
Contig_34359	4	6.645
Contig_22151	4	45.487
Contig_13958	4	45.487
Contig_43667	4	44.596
Contig_44288	4	7.582
Contig_11497	4	20.943
Contig_44415	4	6.645
Contig_52477	4	32.424
Contig_9594	4	5.319
Contig_22073	4	6.645
Contig_931	4	64.137
Contig_2098	4	62.871
Contig_42534	4	45.487
Soc1011	4	66.012
Contig_2703	4	64.137
Contig_8728	4	65.387
Contig_21471	4	23.894
Contig_63599	4	9.819
Contig_40979	4	9.819
Contig_24800	4	11.085
Contig_28764	4	36.760
Contig_20515	4	57.312
Contig_48824	4	55.099
Contig_24582	4	0.000
Soc99	4	7.270
Soc1040	4	33.599
Contig_8559	4	64.137
Contig_1445	4	45.487
Contig_21706	4	62.243
Contig_12011	4	30.412
Contig_24776	4	55.996
Contig_18631	4	9.819
Contig_64871	4	51.201
Contig_36113	4	66.012
Contig_21282	4	62.871
Contig_24748	4	6.645
Soc950	4	45.487
Contig_3343	4	11.085
Contig_7066	4	12.351
Contig_72103	4	64.762
Contig_12314	4	7.895
Contig_6276	4	6.645
Contig_52352	4	22.628
Contig_13947	4	64.762
Soc723	4	36.760
Contig_12403	5	0.625
Contig_46525	5	49.648
Contig_14220	5	23.889
Soc692	5	3.746
Contig_40885	5	3.434
Contig_2189	5	18.330
Contig_34022	5	54.468
Soc1017	5	0.625
Contig_16330	5	62.680
Contig_33314	5	32.721
Contig_63635	5	32.721
Soc434	5	57.004
Contig_35800	5	0.313
Contig_7362	5	49.823
Contig_14457	5	10.255
Soc707	5	4.371
Contig_64216	5	12.179
Contig_13891	5	19.570
Contig_2440	5	55.738
